                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1366,                 3.3319,                 1.9771,                0.66704,                 0.0922,                0.15867,                0.04766,                 2.4559,                 3.8526,                 2.3392,             0.00053932,             0.00053932,             0.00053932
                      2,                 2.1801,                 2.5054,                 1.9498,                0.10148,                0.28571,                0.11039,                0.03842,                 2.7101,                 4.6697,                 2.8695,              0.0010733,              0.0010733,              0.0010733
                      3,                 2.2294,                  2.526,                 1.9467,                0.02098,                0.40476,                0.01619,                0.00554,                  2.629,                 103.38,                 5.3065,              0.0015853,              0.0015853,              0.0015853
                      4,                 2.2548,                 2.3994,                  1.968,                0.09036,                0.42655,                0.04218,                0.01487,                 2.5939,                 99.991,                 3.5676,               0.001568,               0.001568,               0.001568
                      5,                 2.1814,                 2.2192,                 1.9157,                0.18387,                0.23455,                0.13326,                 0.0457,                 2.5391,                 6.5225,                 2.7897,               0.001535,               0.001535,               0.001535
                      6,                 2.0957,                  2.141,                 1.8656,                0.15801,                 0.1773,                0.19188,                0.05871,                 2.4602,                 10.998,                  2.442,               0.001502,               0.001502,               0.001502
                      7,                  2.145,                 2.1723,                 1.8814,                0.19469,                0.51621,                0.22757,                0.07265,                 2.8419,                 3.5951,                 2.5802,               0.001469,               0.001469,               0.001469
                      8,                 2.1011,                 2.0941,                 1.8921,                0.78049,                0.17376,                 0.2205,                0.07778,                 2.3702,                 2.5633,                 2.1603,               0.001436,               0.001436,               0.001436
                      9,                  2.104,                 2.1345,                 1.8686,                0.62946,                0.36917,                 0.3689,                0.14542,                 2.2943,                 3.5113,                  2.133,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.0823,                 2.0354,                 1.7813,                 0.2769,                 0.1844,                0.19232,                0.05846,                 2.3613,                 2.4168,                 2.1786,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.9858,                 1.9376,                 1.7546,                0.68509,                0.43183,                0.48007,                0.20345,                 2.2805,                 1.9175,                 2.0728,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.9921,                 1.9371,                  1.782,                0.76964,                0.42117,                0.51058,                0.20185,                 2.2487,                 2.1423,                 2.0392,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.9878,                 1.9116,                 1.7594,                0.53368,                0.40655,                0.41558,                0.19134,                 2.2126,                 1.9441,                  2.026,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.9318,                 1.8002,                 1.7326,                0.54791,                0.37116,                0.41563,                 0.1912,                 2.2093,                 1.9789,                 2.0114,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.8607,                  1.741,                 1.6807,                0.68414,                0.45595,                0.45245,                0.21162,                 2.1826,                 1.9049,                 1.9857,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.8629,                 1.6833,                 1.6511,                0.73826,                0.54458,                0.55044,                0.25487,                 2.1928,                 1.8229,                 1.9842,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.8622,                 1.6623,                 1.6708,                0.67872,                0.51101,                0.56202,                0.26483,                 2.1674,                 1.7834,                 1.9851,              0.0011389,              0.0011389,              0.0011389
